iter	Passed	Remaining
401	20227	30089
402	20249	29997
403	20277	29913
404	20309	29837
405	20349	29772
406	20498	29866
407	20555	29825
408	20655	29846
409	20677	29754
410	20706	29674
411	20729	29584
412	20763	29510
413	20841	29500
414	20905	29468
415	20927	29378
416	21006	29368
417	21035	29288
418	21060	29202
419	21110	29152
420	21149	29086
421	21193	29027
422	21219	28944
423	21249	28866
424	21300	28818
425	21315	28721
426	21351	28651
427	21369	28559
428	21402	28487
429	21443	28425
430	21475	28351
431	21502	28272
432	21517	28176
433	21532	28081
434	21550	27991
435	21598	27939
436	21624	27859
437	21686	27825
438	21701	27733
439	21719	27642
440	21758	27579
441	21788	27507
442	21816	27431
443	21836	27345
444	21886	27296
445	21912	27218
446	21931	27131
447	21962	27060
448	21989	26985
449	22012	26903
450	22028	26814
451	22049	26732
452	22067	26646
453	22088	26565
454	22136	26515
455	22152	26427
456	22171	26343
457	22211	26284
458	22244	26218
459	22279	26154
460	22301	26074
461	22315	25986
462	22331	25900
463	22352	25820
464	22367	25734
465	22396	25664
466	22427	25597
467	22442	25511
468	22460	25429
469	22490	25361
470	22503	25274
471	22525	25197
472	22541	25115
473	22558	25032
474	22602	24981
475	22627	24909
476	22643	24827
477	22717	24808
478	22746	24741
479	22763	24660
480	22778	24577
481	22792	24495
482	22808	24414
483	22844	24355
484	22896	24312
485	22920	24241
486	22950	24175
487	22968	24097
488	22985	24020
489	23001	23940
490	23053	23898
491	23067	23817
492	23110	23766
493	23137	23699
494	23162	23630
495	23194	23568
496	23208	23489
497	23226	23413
498	23260	23354
499	23276	23276
500	23296	23203
501	23317	23131
502	23366	23087
503	23380	23009
504	23394	22931
505	23410	22855
506	23424	22777
507	23440	22702
508	23469	22639
509	23499	22577
510	23515	22503
511	23530	22427
512	23557	22363
513	23587	22302
514	23669	22291
515	23697	22227
516	23712	22152
517	23728	22079
518	23742	22003
519	23763	21935
520	23783	21866
521	23807	21800
522	23836	21740
523	23869	21683
524	23885	21610
525	23906	21542
526	23935	21483
527	23961	21419
528	23990	21359
529	24007	21289
530	24023	21218
531	24044	21151
532	24067	21087
533	24101	21032
534	24137	20979
535	24154	20909
536	24184	20851
537	24201	20782
538	24219	20714
539	24239	20648
540	24288	20607
541	24340	20568
542	24387	20524
543	24408	20460
544	24473	20432
545	24510	20380
