iter	Logloss
187	0.2746342955
188	0.2745368003
189	0.2744238182
190	0.2743352556
191	0.2742155915
192	0.274107022
193	0.27402616
194	0.2739097663
195	0.2738477368
196	0.2737562889
197	0.2736835647
198	0.2735982087
199	0.2734153828
200	0.2733299338
201	0.2732628257
202	0.2728441343
203	0.2727077466
204	0.2726131364
205	0.2725547724
206	0.2724561533
207	0.2723890428
208	0.2722637215
209	0.2722094875
210	0.2721386857
211	0.2720106314
212	0.2719428245
213	0.2718707115
214	0.2717439209
215	0.2715079272
216	0.2713771114
217	0.2712894489
218	0.2711783328
219	0.2710667996
220	0.2709831926
221	0.2708948134
222	0.2707975112
223	0.2707153178
224	0.2706425973
225	0.270554094
226	0.2704727521
227	0.2703428164
228	0.2702222334
229	0.2701555121
230	0.2696809376
231	0.2695736308
232	0.2694912032
233	0.2693744881
234	0.269297692
235	0.2691617498
236	0.2690940917
237	0.2690187839
238	0.268963882
239	0.268890557
240	0.2688263237
241	0.2687355649
242	0.2686807975
243	0.2686220178
244	0.2685423085
245	0.2684436792
246	0.2683035702
247	0.2682295499
248	0.2681167388
249	0.2680208838
250	0.2679291135
251	0.267815572
252	0.2677578165
253	0.2676475178
254	0.2675812918
255	0.2675262523
256	0.2674573356
257	0.2673641345
258	0.2672775206
259	0.2671590553
260	0.2670551511
261	0.2669802265
262	0.2669029409
263	0.2667850405
264	0.2667145618
265	0.2666488562
266	0.2665669952
267	0.2664880389
268	0.2664329087
269	0.2663892914
270	0.2662766673
271	0.2661751224
272	0.2659905212
273	0.2659165405
274	0.2658491759
275	0.2657680821
276	0.2656659436
277	0.2655704983
278	0.2654671976
279	0.2654373085
280	0.2653479532
281	0.2652706896
282	0.2652018614
283	0.2651321777
284	0.2650746551
285	0.2649891814
286	0.2649433749
287	0.2648849363
288	0.2648008258
289	0.2647112977
290	0.2646640724
291	0.2643740048
292	0.2643220182
293	0.2642616096
294	0.2641910246
295	0.2641068128
296	0.2640471827
297	0.2639638508
298	0.2638896533
299	0.2637580585
300	0.2636797118
301	0.2635376547
302	0.2634755067
303	0.2634279547
304	0.2633299807
305	0.2632471225
306	0.2631836627
307	0.2631217942
308	0.2630422457
309	0.2629354822
310	0.2628853967
311	0.2628134513
312	0.2627061904
313	0.2626279544
314	0.2625598635
315	0.2624753162
316	0.2624320427
317	0.2623043754
318	0.2622427477
319	0.2621330289
320	0.2620473545
321	0.2619954149
322	0.2619331509
323	0.2618372463
324	0.2617702969
325	0.2616866889
326	0.2616455374
327	0.2615757087
328	0.2615234619
329	0.2614657722
330	0.2613280844
331	0.2612648943
332	0.2611900469
333	0.2611259176
334	0.2610818874
335	0.2610385185
336	0.2609948675
337	0.2609225779
338	0.2608447714
339	0.2607629088
340	0.260709911
341	0.2606272731
342	0.2605565258
343	0.2605019876
344	0.2604660182
345	0.2603275717
346	0.260255633
347	0.2601589077
348	0.2600859411
349	0.2599996556
350	0.2599483364
351	0.259914712
352	0.2598552316
353	0.2597963203
354	0.2597352811
355	0.2596448422
356	0.2595662942
357	0.2595099677
358	0.2594650119
359	0.2594175965
360	0.2593363106
361	0.2592627514
362	0.2592083213
363	0.2590935643
364	0.2589913655
365	0.2589408684
366	0.2588631018
367	0.2588235118
368	0.2587584187
369	0.2586660917
370	0.2585911336
371	0.2585566606
372	0.2584958886
373	0.2584166598
374	0.2583444277
375	0.2582903971
376	0.2582549417
377	0.2581446643
378	0.2580641369
379	0.2579819557
380	0.257905994
381	0.25785896
382	0.2577899892
383	0.2577090144
384	0.2576599681
385	0.2576117749
386	0.2575412687
387	0.2574699659
388	0.2574048834
389	0.2572108909
390	0.2571556053
391	0.2570865291
392	0.2570053739
393	0.2569310313
394	0.2568625019
395	0.2568030546
396	0.2567292476
397	0.2566337103
398	0.2565598407
399	0.2564765809
400	0.2564460045
401	0.2563795369
402	0.2563081917
403	0.2562341497
404	0.2561654832
405	0.2560926527
406	0.2560375672
407	0.2559842594
408	0.2559383397
409	0.2559010609
410	0.2558305056
411	0.2557805119
412	0.2557350479
413	0.2556935553
414	0.2556340974
415	0.2555771295
416	0.2555047951
417	0.255404045
418	0.2553545887
419	0.2553186474
420	0.2552116136
421	0.2551898353
422	0.2551321348
423	0.2550761401
424	0.2550418316
425	0.254971117
426	0.2549093743
427	0.2548594014
428	0.254816962
429	0.2547424087
430	0.2547182501
431	0.2546868457
432	0.2546015863
433	0.2545180923
434	0.2544195954
435	0.2543850222
436	0.2543196678
437	0.2542684378
438	0.2542259102
439	0.2541495575
440	0.2541262868
441	0.2540693555
442	0.2539986642
443	0.253955064
444	0.2538872491
445	0.2538321495
446	0.2537782681
447	0.2537185339
448	0.2536606928
449	0.2536392018
450	0.2535564313
451	0.2535107928
452	0.2534642619
453	0.2534318429
454	0.2533583882
455	0.2533405771
456	0.2533200634
457	0.2533036781
458	0.2530160562
459	0.2529500156
460	0.252855983
461	0.2528055168
462	0.2527816069
463	0.2527031403
464	0.252655682
465	0.2525973124
466	0.2525073983
467	0.2524716082
468	0.2524057694
469	0.2523620028
470	0.2522916285
471	0.2522276174
472	0.2521435688
473	0.2520984741
474	0.2520309843
475	0.2520061042
476	0.2519904135
477	0.2519684604
478	0.251882087
479	0.2518585655
480	0.2518010048
481	0.2517858424
482	0.251746532
483	0.2516913396
484	0.2516542144
485	0.2516208533
486	0.2515645277
487	0.2515009629
488	0.2514695089
489	0.2514284705
490	0.2513897609
491	0.2513542245
492	0.2513258851
493	0.251250454
494	0.2512057328
495	0.2511401515
496	0.2510723719
497	0.2510159478
498	0.2509523637
499	0.2508851273
500	0.2507733827
501	0.2507205124
502	0.2506682219
503	0.2506181605
504	0.2505831407
505	0.2505618221
506	0.250519052
507	0.2504575505
508	0.2503784068
509	0.2503479016
510	0.2502912162
511	0.2502373008
512	0.2502121945
513	0.2501671647
514	0.2501297842
515	0.2500687254
516	0.2500016724
517	0.2499725251
518	0.2499398858
519	0.2498620887
520	0.249792112
521	0.2497598023
522	0.2497028111
523	0.2496918999
524	0.2496627999
525	0.2495879547
526	0.2495653108
527	0.2495320757
528	0.249459379
529	0.2494033228
530	0.2493735802
531	0.2492986022
532	0.2492578515
533	0.2492213996
534	0.2491783037
535	0.2491086702
536	0.2490625191
537	0.2490401979
538	0.2489801204
539	0.2489395901
540	0.2488829688
541	0.2488341673
542	0.2487819414
543	0.2487349207
544	0.2486576182
545	0.2485259154
546	0.248474928
547	0.2484114788
548	0.2483543435
549	0.2483238616
550	0.2482844118
551	0.2482161044
552	0.2481805317
553	0.2481384358
554	0.2479835569
555	0.2479576377
556	0.2479001487
557	0.2478667658
558	0.2478308273
559	0.2477466872
560	0.2477007828
561	0.2476446752
562	0.2475812277
563	0.24751795
564	0.2474719312
565	0.2473901774
566	0.2473349309
567	0.2472770352
568	0.2472268837
569	0.2471851672
570	0.2471159725
571	0.2470611856
572	0.2469841886
573	0.246931282
574	0.246900119
575	0.2468365007
576	0.2467814095
577	0.2467529355
578	0.24659975
579	0.2465642547
580	0.2464637556
581	0.2463987876
582	0.2463145951
583	0.2462740776
584	0.2462192492
585	0.2461929453
586	0.2461433775
587	0.246131097
588	0.2460728562
589	0.246045728
590	0.2460084674
591	0.2459622486
592	0.2459234453
593	0.2458891976
594	0.2458720645
595	0.2458193874
596	0.2457493762
597	0.245737026
598	0.2456781777
599	0.2456259838
600	0.2455232453
601	0.2455015643
602	0.2454605589
603	0.2454037863
604	0.2453726528
605	0.2453143293
606	0.2452377041
607	0.2451668523
608	0.2451217835
609	0.245076516
610	0.245031499
611	0.2449647147
612	0.2449205729
613	0.2449024231
614	0.2448504325
615	0.244816796
616	0.2448002394
617	0.2447736367
618	0.2447190593
619	0.2446834756
620	0.2446463408
621	0.244627528
622	0.2445974712
623	0.244536516
624	0.2444676591
625	0.2444347467
626	0.2443478822
627	0.2442981771
628	0.2442712582
629	0.2442251491
630	0.2441472065
631	0.2440909205
632	0.2440481471
633	0.2440272751
634	0.243968243
635	0.2439290404
636	0.2438984063
637	0.243852168
638	0.2438353047
639	0.2437975166
640	0.2437409797
641	0.2436681544
642	0.2436563496
643	0.2436062164
644	0.2435662407
645	0.2434955208
646	0.2434858321
647	0.2434332653
648	0.2434001709
649	0.2433411248
650	0.2433041499
651	0.2432782299
652	0.2432189413
653	0.2431547603
654	0.243127443
655	0.2431054713
656	0.2430547235
657	0.2430363372
658	0.2429686242
659	0.2429129278
660	0.2428558811
661	0.2428159044
662	0.2427792369
663	0.2427355651
664	0.2427000134
665	0.242538001
666	0.2425116669
667	0.2424647304
668	0.2423876645
669	0.2423437922
670	0.2422785047
671	0.2422297503
672	0.2420502099
673	0.2419923442
674	0.2419553244
675	0.2419191367
676	0.24189423
677	0.2418323403
678	0.2417817065
679	0.2417206744
680	0.2417137504
681	0.2416810185
682	0.2416274907
683	0.2415956427
684	0.2415270564
685	0.2414896298
686	0.2414283527
687	0.2413601428
688	0.2413105387
689	0.2412605348
690	0.2412198338
691	0.2411836393
692	0.2411307641
693	0.2410866598
694	0.2410285195
695	0.2409870108
696	0.2409300492
697	0.2409038628
698	0.240819995
699	0.2407793208
700	0.240751555
701	0.2407207077
702	0.240685978
703	0.2406612967
704	0.2406169301
705	0.240570401
706	0.2405330152
707	0.2404367782
708	0.2404118597
709	0.2403751246
710	0.2403316828
711	0.2402447839
712	0.2401802597
713	0.240122948
714	0.2400547143
715	0.2400068687
716	0.2399389178
717	0.2398893842
718	0.239818195
719	0.2397889635
720	0.2397237724
721	0.2396820712
722	0.2396332938
723	0.2395991316
724	0.2395189512
725	0.2394743474
726	0.2394285957
727	0.2394001549
728	0.239351221
729	0.2392961676
730	0.2392869022
731	0.2392632745
732	0.2392016443
733	0.2391375018
734	0.2390683513
735	0.2390222791
736	0.2389685237
737	0.2389420482
738	0.2389136597
739	0.2388603889
740	0.2388159311
741	0.2387417011
742	0.2387033496
743	0.2386515751
744	0.2386348148
745	0.2385768257
746	0.2384867823
747	0.2384338755
748	0.2384157098
749	0.2383840167
750	0.2383530432
751	0.2383360452
752	0.238294494
753	0.2382182012
754	0.2381675439
755	0.2381201373
756	0.2380858241
757	0.2380558249
758	0.2380096727
759	0.2379673922
760	0.2379140765
761	0.2378695426
762	0.2378176534
763	0.2377684956
764	0.2377332085
765	0.2377152717
766	0.2376652082
767	0.2376382127
768	0.2376223546
769	0.2375965203
770	0.2375416297
771	0.2375271468
772	0.2374906392
773	0.237452518
774	0.2373418945
775	0.23730691
776	0.2372647145
777	0.2372290329
778	0.2371710673
779	0.237122841
780	0.2370880184
781	0.2370595426
782	0.237047827
783	0.2370214473
784	0.2369524653
785	0.2369156398
786	0.2368738312
787	0.2368160715
788	0.2367764141
789	0.2366982774
790	0.236573316
791	0.2365451186
792	0.2365028164
793	0.2364719796
794	0.2364214574
795	0.2363746018
796	0.2363069322
797	0.2362671768
798	0.2362351112
799	0.2361668501
800	0.2361310713
801	0.2360619256
802	0.2360077121
803	0.235970412
804	0.2359481406
805	0.2359238039
806	0.2358684056
807	0.2358408373
808	0.2358147375
809	0.2357875356
810	0.2357419496
811	0.235713566
812	0.2357006639
813	0.2356562555
814	0.2356036631
815	0.2355535953
816	0.2354896467
817	0.2354371697
818	0.2354150716
819	0.235381956
820	0.2353457816
821	0.2352903108
822	0.2352451947
823	0.2352027351
824	0.235185454
825	0.235167019
826	0.2351448665
827	0.2351215679
828	0.2350746821
829	0.2350302392
830	0.235003205
831	0.2349501801
832	0.2349092794
833	0.2348672586
834	0.2348199763
835	0.234787414
836	0.2347655087
837	0.2347280211
838	0.234652797
839	0.2345946569
840	0.2345563909
841	0.2345096293
842	0.2344809268
843	0.2344595859
844	0.2344262937
845	0.23439839
846	0.234372763
847	0.2343444729
848	0.2342603408
849	0.2342055741
850	0.2341990351
851	0.2341427269
852	0.2341052591
853	0.2340488504
854	0.2340369071
855	0.2340191616
856	0.2339830768
857	0.2339228102
858	0.2338728852
859	0.2338608564
860	0.233785217
861	0.233736954
862	0.2337062172
863	0.2336679977
864	0.2336439171
865	0.2336024711
866	0.2335549731
867	0.2335210708
868	0.2334791885
869	0.233450928
870	0.2334398558
871	0.2333970182
872	0.2333505578
873	0.2333028457
874	0.2332537791
875	0.2331766332
876	0.2331446833
877	0.2330966701
878	0.2330822568
879	0.2330701497
880	0.2330202538
881	0.2330125206
882	0.2329805846
883	0.2329160799
884	0.2328765951
885	0.2328255741
886	0.2328159783
887	0.2327538989
888	0.2326831559
889	0.2326196499
890	0.2325738832
891	0.2325269829
892	0.2325010114
893	0.2324831478
894	0.2324241146
895	0.2324132527
896	0.232357784
897	0.2323244742
898	0.232266712
899	0.2322155736
900	0.2321832442
901	0.2321596198
902	0.2321234989
903	0.2320983641
904	0.2320329142
905	0.2320139874
906	0.231962477
907	0.2319216698
908	0.2318775564
909	0.2318394283
910	0.2317706527
911	0.2317243391
912	0.2316601452
913	0.2316513663
914	0.2316035304
915	0.2315936585
916	0.2315509653
917	0.2315133205
918	0.2314685421
919	0.2313939848
920	0.2313689571
921	0.2313122555
922	0.2313011466
923	0.2312494119
924	0.2312363634
925	0.2312046884
926	0.2311282333
927	0.2311002588
928	0.2310849287
929	0.2310447596
930	0.2310104746
931	0.2309841547
932	0.2309567037
933	0.2309031819
934	0.2308644283
935	0.2308444235
936	0.2307922195
937	0.2307262877
938	0.2306925046
939	0.2306299684
940	0.2305967147
941	0.2305270394
942	0.2304808169
943	0.2304516981
944	0.2304270013
945	0.2303843958
946	0.2303473517
947	0.2302977321
948	0.2302528353
949	0.2302213652
950	0.2301594714
951	0.2301070813
952	0.2300582127
953	0.2300485275
954	0.2299863106
955	0.2299443407
956	0.2298618182
957	0.2298232798
958	0.229763315
959	0.2297239688
960	0.2296838645
961	0.2296296191
962	0.2296086686
963	0.229579732
964	0.2295460002
965	0.2295093812
966	0.2295015628
967	0.229468803
968	0.2294411503
969	0.2294168186
970	0.2293960872
971	0.2293386309
972	0.22929959
973	0.2292884878
974	0.2292384686
975	0.2291954394
976	0.2291472922
977	0.2291129633
978	0.2290568147
979	0.229018017
980	0.2289716753
981	0.2289192753
982	0.228885815
983	0.2288412036
984	0.2288189255
985	0.2287695773
986	0.2287342823
987	0.2286760242
988	0.2286410496
989	0.2285779304
990	0.2285251515
991	0.2284812182
992	0.2284686564
993	0.2284125753
994	0.2283930105
995	0.2283642838
996	0.2283502342
997	0.2283254319
998	0.2282823907
999	0.2282727647
